Timestamp,Identity,Score,Result
2026-05-15 15:05:27,UNKNOWN,0.9788,DENIED
2026-05-15 15:05:40,UNKNOWN,0.9774,DENIED
2026-05-15 16:51:01,Subject 100 — Left index,0.9974,GRANTED
2026-05-15 16:51:01,Subject 100 — Left little,0.9991,GRANTED
2026-05-15 16:51:01,Subject 100 — Left ring,0.9982,GRANTED
2026-05-15 16:51:01,Subject 100 — Left thumb,0.9981,GRANTED
2026-05-15 16:51:01,Subject 100 — Right index,0.9977,GRANTED
2026-05-15 16:51:01,Subject 100 — Right little,0.9994,GRANTED
2026-05-15 16:51:01,UNKNOWN,0.9949,DENIED
2026-05-15 16:51:02,Subject 100 — Right ring,0.9987,GRANTED
2026-05-15 16:51:02,Subject 100 — Right thumb,0.9975,GRANTED
2026-05-15 16:51:02,Subject 101 — Left little,0.9989,GRANTED
2026-05-15 16:51:02,UNKNOWN,0.9950,DENIED
2026-05-15 16:51:02,Subject 101 — Left thumb,0.9978,GRANTED
2026-05-15 16:51:02,Subject 101 — Right little,0.9981,GRANTED
2026-05-15 16:51:02,Subject 101 — Right middle,0.9972,GRANTED
2026-05-15 16:51:02,Subject 101 — Right thumb,0.9988,GRANTED
2026-05-15 16:51:02,Subject 102 — Left little,0.9992,GRANTED
2026-05-15 16:51:02,Subject 102 — Left middle,0.9994,GRANTED
2026-05-15 16:51:02,Subject 102 — Left ring,0.9988,GRANTED
2026-05-15 16:51:03,Subject 102 — Right thumb,0.9986,GRANTED
2026-05-15 16:51:03,Subject 103 — Left index,0.9972,GRANTED
2026-05-15 21:00:53,UNKNOWN,0.9447,DENIED
2026-05-15 21:01:03,UNKNOWN,0.9719,DENIED
